"Date","Open","High","Low","Close","Volume","Change"
1995-09-25,211.58,212.33,210.79,211.07,0,0.0568855178952443
1995-09-26,212.51,213.34,212.11,212.87,0,0.852797650068693
1995-09-27,212.43,212.55,210.14,211.03,0,-0.864377319490772
1995-09-28,211.1,211.5,209.36,209.88,0,-0.5449462161778
1995-09-29,209.99,211.58,209.51,211.58,0,0.80998665904326
1995-10-02,211.38,211.52,210.84,211.06,0,-0.245769921542682
1995-10-03,211.01,211.3,210.31,210.46,0,-0.284279351843075
1995-10-04,211.14,211.46,210.29,210.52,0,0.0285089803288008
1995-10-05,210.27,210.81,209.84,209.96,0,-0.266007980239413
1995-10-06,210.17,210.2,208.34,209.74,0,-0.104781863212045
1995-10-09,208.73,209.27,207.43,208.04,0,-0.810527319538479
1995-10-10,207.39,207.99,205.35,206.3,0,-0.836377619688511
1995-10-11,206.56,208.4,206.49,207.82,0,0.736791080950061
1995-10-12,208.64,209.25,208.07,208.5,0,0.327206236165911
1995-10-13,208.7,209.46,208.54,209.38,0,0.422062350119901
1995-10-16,208.84,208.84,208.14,208.35,0,-0.491928550959975
1995-10-17,208.5,208.77,207.01,207.18,0,-0.561555075593945
1995-10-18,207.4,208.72,207.08,207.73,0,0.265469639926619
1995-10-19,207.41,207.47,206.44,207.14,0,-0.284022529244699
1995-10-20,206.8,207.25,206.14,206.4,0,-0.357246306845604
1995-10-23,204.97,205.24,203.59,203.82,0,-1.25000000000001
1995-10-24,203.6,205.84,203.56,205.36,0,0.755568638995197
1995-10-25,205.49,207.34,205.43,206.57,0,0.589209193611206
1995-10-26,204.88,205.75,203.32,203.47,0,-1.50070194123058
1995-10-27,201.76,202.68,200.95,201.71,0,-0.864992382169361
1995-10-30,203.53,204.14,203.11,203.26,0,0.768429924148517
1995-10-31,203.69,205.82,203.51,205.82,0,1.25947062875136
1995-11-01,205.39,207.05,204.92,206.97,0,0.558740647167433
1995-11-02,206.35,206.93,205.35,206.03,0,-0.454172102237038
1995-11-03,206.84,207.27,206.26,206.77,0,0.359170994515368
1995-11-06,206.88,206.97,205.71,205.71,0,-0.512646902355274
1995-11-07,205.21,205.99,204.66,205.19,0,-0.252783044091198
1995-11-08,204.37,204.88,203.92,204.8,0,-0.190067742092692
1995-11-09,205.99,206.79,205.41,205.44,0,0.312499999999982
1995-11-10,205.37,206.36,205.15,206.36,0,0.447819314641751
1995-11-13,206.44,207.87,206.44,207.56,0,0.581508044194612
1995-11-14,207.68,208.69,207.67,208.2,0,0.308344575062636
1995-11-15,207.4,209,207.4,208.29,0,0.0432276657060582
1995-11-16,209.09,209.67,208.38,208.84,0,0.264054923424073
1995-11-17,208.83,208.93,208.01,208.93,0,0.0430951924918599
1995-11-20,210.22,210.94,209.83,210.33,0,0.6700808883358
1995-11-21,210.16,210.64,209.09,209.33,0,-0.475443350924742
1995-11-22,210.14,210.14,208.63,209.72,0,0.186308699183102
1995-11-23,209.63,211.08,209.48,210.55,0,0.395765782948709
1995-11-24,211.24,212.59,211.17,212.08,0,0.726668249821905
1995-11-27,212.56,215.83,212.54,215.83,0,1.76820067898906
1995-11-28,216.15,216.17,214.61,215.03,0,-0.370662095167495
1995-11-29,215.99,216.59,215.68,216.55,0,0.706878110031162
1995-11-30,216.56,217.33,215.65,216.96,0,0.189332717617186
1995-12-01,217.1,217.2,216.1,216.8,0,-0.073746312684364
1995-12-04,216.26,217.36,216.03,216.85,0,0.0230627306272879
1995-12-05,217.71,218.71,217.51,218.66,0,0.834678349089235
1995-12-06,219.2,219.53,217.97,218.71,0,0.022866550809475
1995-12-07,218.43,218.67,215.99,216.47,0,-1.02418727995977
1995-12-08,216.3,217.73,215.91,217.08,0,0.281794244006095
1995-12-11,217.12,218.12,217.09,217.48,0,0.184263865855905
1995-12-12,218.37,218.55,217.21,217.38,0,-0.0459812396542136
1995-12-13,217.4,217.57,216.58,216.92,0,-0.211611003772205
1995-12-14,217.94,218.38,217.05,217.23,0,0.142909828508198
1995-12-15,215.87,216.52,215.23,216.5,0,-0.336049348616674
1995-12-18,216.38,216.86,214.95,215.21,0,-0.595842956120085
1995-12-19,213.14,214.72,212.29,214.42,0,-0.367083313972405
1995-12-20,215.75,218.09,215.53,218.09,0,1.71159406771757
1995-12-21,217.2,218.19,216.94,217.98,0,-0.0504378926131421
1995-12-22,218.5,219.07,218.11,218.5,0,0.238553995779434
1995-12-26,218.5,219.07,218.11,218.5,0,0
1995-12-27,218.48,220.41,218.3,220.09,0,0.727688787185365
1995-12-28,220.77,220.91,219.43,220.24,0,0.0681539370257722
1996-01-02,221.32,224.73,221.06,224.73,0,2.0386850708318
1996-01-03,225.97,227.17,225.76,226.62,0,0.841009211053279
1996-01-04,227.04,227.84,226.27,227.39,0,0.339775836201572
1996-01-05,226.02,226.48,225.05,225.79,0,-0.70363692334755
1996-01-08,226.55,228.55,226.55,228.53,0,1.21351698480889
1996-01-09,229.12,229.49,227.04,227.29,0,-0.542598345950207
1996-01-10,225.25,227.2,225.24,226.53,0,-0.334374587531339
1996-01-11,224.58,227.07,224.42,226.34,0,-0.0838741005606325
1996-01-12,227.23,229.15,226.86,228.17,0,0.808518158522564
1996-01-15,228.13,228.89,227.38,227.69,0,-0.210369461366522
1996-01-16,227.42,229.06,227.42,228.96,0,0.557775923404624
1996-01-17,229.95,230.16,228.38,229.16,0,0.0873515024458316
1996-01-18,229.32,229.47,228.51,229.13,0,-0.0130912899284352
1996-01-19,229.92,231.07,229.22,230.78,0,0.720115218434958
1996-01-22,232.14,232.17,230.56,230.72,0,-0.0259987867232914
1996-01-23,230.41,230.42,228.84,229.07,0,-0.715152565880728
1996-01-24,229.7,230.85,229.56,230.84,0,0.77268957087353
1996-01-25,231.5,231.73,230.08,230.53,0,-0.134292150407211
1996-01-26,230.43,230.69,228.44,229.82,0,-0.3079859454301
1996-01-29,230.53,230.72,229.05,229.44,0,-0.165346793142462
1996-01-30,229.47,229.57,227.37,228.13,0,-0.570955369595538
1996-01-31,229.11,229.45,227.73,228.43,0,0.131503967036339
1996-02-01,228,229.21,226.78,228.59,0,0.0700433393161948
1996-02-02,228.67,229.37,228.13,228.97,0,0.16623649328491
1996-02-05,227.43,227.93,225.14,226.15,0,-1.23160239332664
1996-02-06,226.73,228.18,226.73,228.13,0,0.87552509396418
1996-02-07,229.17,229.84,228.79,229.07,0,0.41204576338052
1996-02-08,229.84,229.96,227.57,227.67,0,-0.611166892216353
1996-02-09,227.57,228.07,226.11,227.79,0,0.0527078666491043
1996-02-12,227.28,228.82,226.11,228.5,0,0.311690592212122
1996-02-13,229.28,231.69,229.12,231.42,0,1.27789934354485
1996-02-14,231.3,233.95,231.27,231.76,0,0.146919021692171
1996-02-15,231.97,232.6,230.44,231.96,0,0.0862961684501284
1996-02-16,231.33,234.01,230.78,230.78,0,-0.508708397999658
1996-02-19,228.75,229.68,228.13,228.13,0,-1.14827974694515
1996-02-20,228.34,228.53,225.2,226.74,0,-0.609301713935029
1996-02-21,226.02,228.98,226.01,228.68,0,0.855605539384308
1996-02-22,230.07,230.78,229.63,230.29,0,0.704040580724152
1996-02-23,232.28,232.5,231.53,231.7,0,0.612271483781313
1996-02-26,231.04,231.4,230.14,230.19,0,-0.651704790677599
1996-02-27,229.23,231.17,228.97,230.34,0,0.0651635605369405
1996-02-28,231.72,233.24,231.53,232.7,0,1.02457237127724
1996-02-29,233.76,234.09,232.12,232.89,0,0.0816501933820435
1996-03-01,233.58,235.36,233.58,234.42,0,0.65696251449181
1996-03-04,235.06,235.99,234.82,235.54,0,0.477774933879371
